name;role;type;demographic;description;units;missing_values
ID;ID;Integer;NA;NA;NA;no
Time;Feature;Integer;NA;NA;NA;no
radius1;Feature;Continuous;NA;NA;NA;no
texture1;Feature;Continuous;NA;NA;NA;no
perimeter1;Feature;Continuous;NA;NA;NA;no
area1;Feature;Continuous;NA;NA;NA;no
smoothness1;Feature;Continuous;NA;NA;NA;no
compactness1;Feature;Continuous;NA;NA;NA;no
concavity1;Feature;Continuous;NA;NA;NA;no
concave_points1;Feature;Continuous;NA;NA;NA;no
symmetry1;Feature;Continuous;NA;NA;NA;no
fractal_dimension1;Feature;Continuous;NA;NA;NA;no
radius2;Feature;Continuous;NA;NA;NA;no
texture2;Feature;Continuous;NA;NA;NA;no
perimeter2;Feature;Continuous;NA;NA;NA;no
area2;Feature;Continuous;NA;NA;NA;no
smoothness2;Feature;Continuous;NA;NA;NA;no
compactness2;Feature;Continuous;NA;NA;NA;no
concavity2;Feature;Continuous;NA;NA;NA;no
concave_points2;Feature;Continuous;NA;NA;NA;no
symmetry2;Feature;Continuous;NA;NA;NA;no
fractal_dimension2;Feature;Continuous;NA;NA;NA;no
radius3;Feature;Continuous;NA;NA;NA;no
texture3;Feature;Continuous;NA;NA;NA;no
perimeter3;Feature;Continuous;NA;NA;NA;no
area3;Feature;Integer;NA;NA;NA;no
smoothness3;Feature;Continuous;NA;NA;NA;no
compactness3;Feature;Continuous;NA;NA;NA;no
concavity3;Feature;Continuous;NA;NA;NA;no
concave_points3;Feature;Continuous;NA;NA;NA;no
symmetry3;Feature;Continuous;NA;NA;NA;no
fractal_dimension3;Feature;Continuous;NA;NA;NA;no
tumor_size;Feature;Continuous;NA;NA;NA;no
lymph_node_status;Feature;Integer;NA;NA;NA;yes
Outcome;Target;Categorical;NA;NA;NA;no
